code,candidate,woman,parent
air12,2,Man,Non-parent
air13,2,Man,Non-parent
air14,2,Woman,Parent
air16,2,Man,Non-parent
air19,2,Woman,Non-parent
air37,2,Man,Non-parent
air4,2,Man,Parent
air50,2,Man,Non-parent
air55,2,Woman,Parent
air84,2,Man,Parent
air85,2,Man,Non-parent
air90,2,Man,Parent
alaska100,2,Woman,Parent
alaska12,2,Man,Parent
alaska15,2,Man,Non-parent
alaska20,2,Woman,Non-parent
alaska31,2,Man,Non-parent
alaska45,2,Woman,Non-parent
alaska47,2,Woman,Parent
alaska50,2,Man,Non-parent
alaska6,2,Man,Parent
alaska64,2,Woman,Non-parent
alaska72,2,Woman,Non-parent
alaska82,2,Man,Non-parent
alaska91,2,Woman,Non-parent
alaska95,2,Man,Parent
beach10,2,Man,Parent
beach20,2,Woman,Parent
beach30,2,Woman,Non-parent
beach33,2,Woman,Non-parent
beach53,2,Man,Parent
beach71,2,Woman,Parent
beach79,2,Man,Non-parent
beach81,2,Man,Parent
beach88,2,Man,Parent
beach89,2,Woman,Non-parent
bike1,2,Man,Non-parent
bike11,2,Woman,Non-parent
bike17,2,Man,Non-parent
bike44,2,Woman,Non-parent
bike56,2,Woman,Parent
bike58,2,Woman,Parent
bike69,2,Man,Non-parent
bike90,2,Woman,Non-parent
blue15,2,Woman,Parent
blue23,2,Man,Non-parent
blue27,2,Man,Non-parent
blue4,2,Man,Non-parent
blue55,2,Woman,Parent
blue58,2,Woman,Parent
blue63,2,Man,Non-parent
blue75,2,Woman,Non-parent
blue83,2,Woman,Parent
blue9,2,Man,Parent
blue90,2,Woman,Non-parent
blue91,2,Woman,Non-parent
blue94,2,Woman,Parent
boat10,2,Man,Non-parent
boat11,2,Man,Parent
boat13,2,Man,Parent
boat32,2,Woman,Parent
boat38,2,Man,Non-parent
boat4,2,Man,Non-parent
boat45,2,Woman,Parent
boat55,2,Woman,Parent
boat70,2,Man,Non-parent
boat74,2,Woman,Parent
boat78,2,Woman,Non-parent
boat82,2,Woman,Parent
boat83,2,Woman,Non-parent
boat89,2,Woman,Non-parent
burger16,2,Woman,Parent
burger2,2,Man,Parent
burger36,2,Woman,Parent
burger45,2,Woman,Parent
burger52,2,Man,Parent
burger58,2,Woman,Parent
burger67,2,Woman,Parent
burger89,2,Woman,Non-parent
cake16,2,Man,Parent
cake18,2,Man,Parent
cake25,2,Man,Parent
cake35,2,Woman,Parent
cake4,2,Woman,Parent
cake48,2,Man,Non-parent
cake50,2,Woman,Non-parent
cake6,2,Man,Parent
cake84,2,Woman,Parent
cake90,2,Man,Parent
canal100,2,Woman,Non-parent
canal13,2,Man,Parent
canal17,2,Man,Non-parent
canal3,2,Woman,Non-parent
canal33,2,Man,Parent
canal39,2,Man,Parent
canal41,2,Man,Non-parent
canal48,2,Man,Non-parent
canal50,2,Woman,Parent
canal52,2,Woman,Parent
canal76,2,Man,Non-parent
canal83,2,Woman,Parent
canoe24,2,Woman,Non-parent
canoe31,2,Man,Parent
canoe33,2,Woman,Non-parent
canoe36,2,Man,Parent
canoe44,2,Woman,Parent
canoe63,2,Man,Parent
canoe68,2,Woman,Non-parent
canoe75,2,Man,Non-parent
canoe93,2,Man,Non-parent
canyon13,2,Man,Non-parent
canyon26,2,Woman,Parent
canyon32,2,Man,Parent
canyon46,2,Man,Non-parent
canyon49,2,Woman,Non-parent
canyon55,2,Man,Non-parent
canyon63,2,Woman,Parent
canyon69,2,Woman,Parent
canyon81,2,Woman,Non-parent
canyon90,2,Man,Non-parent
canyon93,2,Man,Parent
carrot1,2,Woman,Non-parent
carrot15,2,Man,Non-parent
carrot21,2,Man,Parent
carrot23,2,Woman,Parent
carrot50,2,Woman,Non-parent
carrot52,2,Woman,Non-parent
carrot57,2,Man,Parent
carrot66,2,Woman,Non-parent
carrot70,2,Man,Parent
carrot95,2,Man,Non-parent
carrot98,2,Woman,Non-parent
chicken18,2,Woman,Non-parent
chicken20,2,Woman,Parent
chicken25,2,Woman,Non-parent
chicken28,2,Man,Non-parent
chicken29,2,Man,Parent
chicken38,2,Woman,Non-parent
chicken4,2,Man,Non-parent
chicken45,2,Man,Non-parent
chicken54,2,Woman,Non-parent
chicken67,2,Woman,Non-parent
chicken68,2,Woman,Non-parent
chicken71,2,Woman,Parent
chicken98,2,Man,Non-parent
cliff10,2,Woman,Parent
