x,y,b,se,p,n,p_star
0,0,0,,,537,
0,1,0,,,537,
0,2,0,,,537,
0,3,0,,,537,
0,4,0,,,537,
0,5,-15.350816,72.449532,.83227909,537,
0,6,-193.77289,197.05423,.32588065,537,
0,7,-78.080589,79.402802,.32588065,537,
0,8,0,,,537,
0,9,7.2898769,7.2114162,.31253082,537,
0,10,128.49533,109.11395,.23946966,537,
0,11,-143.60806,143.06334,.31592518,537,
0,12,12.924242,11.003183,.24068086,537,
0,13,-.043456543,.061434586,.47964904,537,
0,14,-.014652015,.014900131,.32588065,537,
0,15,-.029304029,.021033196,.16412956,537,
0,16,2.1818182,2.1454844,.30964401,537,
0,17,0,,,537,
0,18,-.014652015,.014900131,.32588065,537,
0,19,.031302031,.036334708,.38935351,537,
1,0,0,,,537,
1,1,0,,,537,
1,2,0,,,537,
1,3,139.63637,137.311,.30964401,537,
1,4,0,,,537,
1,5,-1.4652015,1.4900131,.32588065,537,
1,6,0,,,537,
1,7,-2.1240425,2.1456642,.32265916,537,
1,8,.015151516,.014899197,.30964401,537,
1,9,.030303031,.021030551,.15019645,537,
1,10,.12221112,.13649198,.37099081,537,
1,11,-.18747918,.24233229,.43948242,537,
1,12,.015151516,.014899197,.30964401,537,
1,13,-.014152514,.025775598,.58318895,537,
1,14,-4.3679652,4.8419776,.36740777,537,
1,15,-.043956045,.025712727,.087937258,537,
1,16,0,,,537,
1,17,0,,,537,
1,18,0,,,537,
1,19,0,,,537,
2,0,0,,,537,
2,1,0,,,537,
2,2,.015151516,.014899197,.30964401,537,
2,3,0,,,537,
2,4,0,,,537,
2,5,-.014652015,.014900131,.32588065,537,
2,6,.030303031,.021030551,.15019645,537,
2,7,-.058608059,.029635467,.048482955,537,*
2,8,.27272728,.1585218,.085930698,537,
2,9,.35248086,.27811867,.20557235,537,
2,10,.065934069,1.3269116,.96038806,537,
2,11,-24.013071,85.175079,.77810925,537,
2,12,74.131699,75.135895,.32426763,537,
2,13,.34948385,.20061684,.082075,537,
2,14,-16.605394,16.2332,.30680421,537,
2,15,3.423743,3.4227362,.3176204,537,
2,16,.030303031,.021030551,.15019645,537,
2,17,0,,,537,
2,18,0,,,537,
2,19,0,,,537,
3,0,0,,,537,
3,1,0,,,537,
3,2,0,,,537,
3,3,0,,,537,
3,4,0,,,537,
3,5,-190.3783,207.90231,.3602314,537,
3,6,11.834832,11.680999,.31143719,537,
3,7,0,,,537,
3,8,-105.81136,107.65304,.32610467,537,
3,9,.23026973,.15598889,.14048035,537,
3,10,.9285714,.76862884,.22754708,537,
3,11,.11371961,.46646696,.80748755,537,
3,12,3.616883,5.0481296,.47400773,537,
3,13,7.3110223,7.2115974,.31114274,537,
3,14,-.044622045,.37801635,.90607816,537,
3,15,-.71545124,.73132908,.32837355,537,
3,16,.015151516,.014899197,.30964401,537,
