x,y,b,se,p,n,p_star
0,0,0,,,507,
0,1,0,,,507,
0,2,0,,,507,
0,3,0,,,507,
0,4,-122.34749,125.02082,.32823786,507,
0,5,0,,,507,
0,6,25.514385,437.36023,.95350307,507,
0,7,-367.81311,344.54483,.28624108,507,
0,8,-10.030702,19.780088,.61229831,507,
0,9,2.0645161,1.9104196,.28036371,507,
0,10,0,,,507,
0,11,.032258064,.022274055,.14817192,507,
0,12,-.015444015,.015783472,.32829908,507,
0,13,13.42552,13.273519,.31228477,507,
0,14,-.03088803,.022277899,.16620985,507,
0,15,.58064514,.56815612,.30727887,507,
0,16,.016129032,.015782114,.30727887,507,
0,17,0,,,507,
0,18,0,,,507,
0,19,-.77220076,.77348995,.31859589,507,
1,0,0,,,507,
1,1,0,,,507,
1,2,0,,,507,
1,3,-91.567566,93.5802,.32829908,507,
1,4,-.015444015,.015783472,.32829908,507,
1,5,0,,,507,
1,6,356.54272,448.72076,.42723349,507,
1,7,-144.07379,122.56136,.24033915,507,
1,8,.066571176,.073781677,.36734226,507,
1,9,.0020550503,.038506303,.95745885,507,
1,10,0,,,507,
1,11,.032258064,.022274055,.14817192,507,
1,12,0,,,507,
1,13,-.015444015,.015783472,.32829908,507,
1,14,.032258064,.022274055,.14817192,507,
1,15,-.015444015,.015783472,.32829908,507,
1,16,.016129032,.015782114,.30727887,507,
1,17,0,,,507,
1,18,0,,,507,
1,19,-.55598456,.568205,.32829908,507,
2,0,0,,,507,
2,1,.14516129,.14203903,.30727887,507,
2,2,-11.634201,21.080305,.58126163,507,
2,3,.032258064,.022274055,.14817192,507,
2,4,-.03088803,.022277899,.16620985,507,
2,5,-122.3904,125.02042,.32806689,507,
2,6,-66.676239,638.47284,.91686893,507,
2,7,219.04665,272.31091,.42154503,507,
2,8,-530.69928,629.56512,.39964896,507,
2,9,-59.331734,101.66478,.55974889,507,
2,10,-.2007722,.1552254,.19645587,507,
2,11,.0013700336,.031502988,.96532893,507,
2,12,-.015444015,.015783472,.32829908,507,
2,13,.016129032,.015782114,.30727887,507,
2,14,-187.17188,190.97812,.327521,507,
2,15,-.33136132,.73644263,.65294057,507,
2,16,-.015444015,.015783472,.32829908,507,
2,17,0,,,507,
2,18,.049072113,.065071657,.4511261,507,
2,19,.064516127,.063128456,.30727887,507,
3,0,.016129032,.015782114,.30727887,507,
3,1,-.7646656,.62882304,.22454287,507,
3,2,376.54016,326.48483,.2493263,507,
3,3,.0006850168,.022320241,.9755286,507,
3,4,-.014758999,.027301647,.58902854,507,
3,5,.032258064,.022274055,.14817192,507,
3,6,-135.24513,680.02228,.84243399,507,
3,7,-83.304207,186.23993,.65485382,507,
3,8,63.399288,60.671719,.29654315,507,
3,9,-.041536927,.064073794,.51710689,507,
3,10,.48412007,.56945568,.3956472,507,
3,11,-.13283099,.2904889,.64767581,507,
3,12,-.21347615,.25532901,.40350387,507,
3,13,.1304023,.14457633,.36750728,507,
3,14,243.67705,238.7677,.30795103,507,
3,15,-21.233467,21.607506,.32623091,507,
3,16,1.0329431,1.0102381,.30704573,507,
3,17,-168.02565,224.53577,.4546127,507,
3,18,0,,,507,
3,19,0,,,507,
4,0,.0006850168,.022320241,.9755286,507,
4,1,-13.126666,65.229553,.84059352,507,
4,2,13.209615,17.559431,.45223296,507,
4,3,-.10673808,.093116485,.25221989,507,
4,4,.016129032,.015782114,.30727887,507,
4,5,37.242931,163.65642,.82007432,507,
4,6,237.61621,414.33414,.56656873,507,
4,7,26.722692,26.287416,.30985034,507,
4,8,-30.723503,33.45108,.35881621,507,
4,9,2.6031885,2.6716473,.33033651,507,
4,10,-.32021421,.27117264,.23821817,507,
4,11,.016814049,.027299294,.53822803,507,
4,12,.0013700336,.031502988,.96532893,507,
4,13,-.014073982,.035180874,.68929154,507,
4,14,-.061091047,.038410332,.11235137,507,
4,15,181.23944,177.32765,.30724201,507,
4,16,-3.9375389,4.0405993,.33027801,507,
4,17,-28.571428,29.183582,.32803687,507,
4,18,-.63320464,.46765423,.17634143,507,
4,19,0,,,507,
5,0,0,,,507,
5,1,-29.242247,46.054504,.52574944,507,
5,2,-61.950928,264.45828,.81488121,507,
5,3,-9.9199772,11.576954,.39192158,507,
5,4,0,,,507,
5,5,.016814049,.027299294,.53822803,507,
5,6,370.47278,470.94867,.43185452,507,
5,7,-125.30688,368.3042,.73382735,507,
5,8,.78820527,1.0844014,.46765006,507,
5,9,-.023430688,.054235835,.66591495,507,
5,10,-26.885975,21.966591,.22154237,507,
5,11,-40.262547,41.05246,.32718149,507,
5,12,236.13109,231.06581,.30730742,507,
5,13,1.5363681,1.579641,.33121482,507,
5,14,-.071054928,.16275136,.66259837,507,
5,15,-.046332046,.027231608,.089482136,507,
5,16,.032258064,.022274055,.14817192,507,
5,17,-.015444015,.015783472,.32829908,507,
5,18,.0006850168,.022320241,.9755286,507,
5,19,-.015444015,.015783472,.32829908,507,
6,0,-.03088803,.022277899,.16620985,507,
6,1,103.26124,121.00883,.39387736,507,
6,2,-.13694109,.098005816,.16294445,507,
6,3,10.952298,10.668653,.30510652,507,
6,4,45.30645,44.331959,.30727887,507,
6,5,.049072113,.065071657,.4511261,507,
6,6,-218.84207,340.74136,.52100056,507,
6,7,182.87097,172.97974,.29093426,507,
6,8,-.97745675,.79169041,.21753678,507,
6,9,-56.088554,50.053158,.26299942,507,
6,10,-.060406029,.070447691,.39159781,507,
6,11,.016129032,.015782114,.30727887,507,
6,12,.11427326,.14377549,.42710119,507,
6,13,.083385229,.14546467,.56674176,507,
6,14,.0034250841,.091942869,.97029853,507,
6,15,.082015194,.07210049,.25586358,507,
6,16,0,,,507,
6,17,0,,,507,
6,18,.016129032,.015782114,.30727887,507,
6,19,34.129719,33.394897,.30726838,507,
7,0,0,,,507,
7,1,-57.769024,85.202042,.49806702,507,
7,2,-77.542595,105.62928,.46322766,507,
7,3,90.664719,88.774353,.30760416,507,
7,4,-93.929131,96.026642,.32846504,507,
7,5,0,,,507,
7,6,43.066074,341.21722,.8996135,507,
7,7,18.737017,19.350304,.33335507,507,
7,8,-122.51513,101.66636,.22874048,507,
7,9,-.15170009,.14933899,.31020612,507,
7,10,-261.28702,240.29654,.27739978,507,
7,11,.11358824,.072015628,.11535912,507,
7,12,.66608542,.47692358,.16313857,507,
7,13,-.24436419,.26195553,.35134524,507,
7,14,-.44513637,.40154275,.26814538,507,
7,15,.016814049,.027299294,.53822803,507,
7,16,0,,,507,
7,17,0,,,507,
7,18,0,,,507,
7,19,.016129032,.015782114,.30727887,507,
8,0,0,,,507,
8,1,-14.855773,15.167773,.32783651,507,
8,2,.092850916,2.0272255,.96348619,507,
8,3,29.857578,29.180891,.30670819,507,
8,4,0,,,507,
8,5,0,,,507,
8,6,124.45266,228.52873,.58628136,507,
8,7,4.4384732,95.905426,.96310562,507,
8,8,-35.886864,36.365498,.32419452,507,
8,9,-1.7326099,2.3110859,.45378742,507,
8,10,.084755264,.10048208,.39935586,507,
8,11,12.033628,11.505073,.29608861,507,
8,12,.032943081,.03146892,.29567188,507,
8,13,-289.48026,212.26196,.17324196,507,
8,14,-.014073982,.035180874,.68929154,507,
8,15,-8.1846428,8.3493786,.32742238,507,
8,16,.25806451,.25251383,.30727887,507,
8,17,0,,,507,
8,18,.14516129,.14203903,.30727887,507,
8,19,0,,,507,
9,0,-.015444015,.015783472,.32829908,507,
9,1,119.40883,91.280952,.19141884,507,
9,2,480.36621,787.24963,.54201519,507,
9,3,-64.610291,241.8949,.78950071,507,
9,4,0,,,507,
9,5,.080645159,.065009311,.21536021,507,
9,6,-22.501682,240.6145,.92552948,507,
9,7,66.56321,139.41881,.63326001,507,
9,8,-243.95036,250.57883,.3307474,507,
9,9,-2.6030171,2.6688089,.32985467,507,
9,10,91.040108,104.07208,.38210985,507,
9,11,90.554787,88.77359,.30818632,507,
9,12,.27132893,.27790549,.32936579,507,
9,13,.049072113,.035118625,.16292961,507,
9,14,76.744675,75.138611,.30756599,507,
9,15,-.092664093,.066833697,.16620985,507,
9,16,.0006850168,.022320241,.9755286,507,
9,17,-.15444015,.1428646,.28020212,507,
9,18,0,,,507,
9,19,-1.8687259,1.9098001,.32829908,507,
10,0,0,,,507,
10,1,-.29343629,.20103493,.145014,507,
10,2,-11.797858,11.517941,.30618271,507,
10,3,.048387095,.02722453,.076114997,507,
10,4,0,,,507,
10,5,.064516127,.063128456,.30727887,507,
10,6,184.42035,339.36072,.58707041,507,
10,7,-14.206315,263.09012,.95695817,507,
10,8,-129.09871,203.14328,.52538657,507,
10,9,101.63364,90.381859,.26133877,507,
10,10,-.061776061,.031382877,.049561206,507,*
10,11,-.026777931,.080025449,.73805243,507,
10,12,-.029517997,.038484003,.4434281,507,
10,13,0,,,507,
10,14,-.03088803,.022277899,.16620985,507,
10,15,-2.8087559,2.0281343,.1666957,507,
10,16,.016129032,.015782114,.30727887,507,
10,17,.080645159,.065009311,.21536021,507,
10,18,.0006850168,.022320241,.9755286,507,
10,19,-1.3992403,1.5847255,.37768105,507,
11,0,0,,,507,
11,1,0,,,507,
11,2,2.3225806,2.2726245,.30727887,507,
11,3,-96.386101,98.504646,.32829908,507,
11,4,-.015444015,.015783472,.32829908,507,
11,5,213.30646,208.71846,.30727887,507,
11,6,-647.6004,330.27835,.050454907,507,
11,7,-10.566633,255.62881,.96704447,507,
11,8,156.25949,428.8085,.71570897,507,
11,9,-378.38126,265.41556,.15459639,507,
11,10,-637.75928,406.17789,.11700708,507,
11,11,-46.778553,47.744686,.32767147,507,
11,12,-41.875889,45.367203,.35642549,507,
11,13,-50.563023,51.28043,.32460034,507,
11,14,335.32712,346.22903,.33325213,507,
11,15,39.194233,28.873692,.17524853,507,
11,16,-364.84393,285.96106,.20259441,507,
11,17,-17.482252,23.117281,.44985691,507,
11,18,-.015444015,.015783472,.32829908,507,
11,19,.14516129,.14203903,.30727887,507,
