x,y,b,se,p,n,p_star
0,0,0,,,577,
0,1,0,,,577,
0,2,0,,,577,
0,3,0,,,577,
0,4,0,,,577,
0,5,0,,,577,
0,6,0,,,577,
0,7,0,,,577,
0,8,217.75624,216.63875,.31524339,577,
0,9,0,,,577,
0,10,.50188637,.4994722,.31539977,577,
0,11,.48809323,.49966329,.32905704,577,
0,12,70.313736,69.892639,.31482676,577,
0,13,-91.031792,146.28592,.53399998,577,
0,14,.11755376,.72079015,.8705048,577,
0,15,.18219392,.18708429,.33053553,577,
0,16,.23765469,.23620753,.31477785,577,
0,17,-4.4572868,3.8946362,.2529057,577,
0,18,-30.287205,30.628736,.32315281,577,
0,19,374.03375,300.76093,.21414447,577,
1,0,0,,,577,
1,1,0,,,577,
1,2,0,,,577,
1,3,0,,,577,
1,4,0,,,577,
1,5,0,,,577,
1,6,0,,,577,
1,7,0,,,577,
1,8,-174.91818,131.80902,.1850163,577,
1,9,6.5933919,8.105793,.41631556,577,
1,10,-.88275862,.88736832,.32024947,577,
1,11,-.013648924,.02398725,.56957322,577,
1,12,-.19252673,.22941284,.40169734,577,
1,13,.028018743,.027657071,.31144947,577,
1,14,.084632948,.13266973,.52377838,577,
1,15,49.871643,49.915977,.3181608,577,
1,16,-.16494052,.22355041,.46092328,577,
1,17,.00014417878,.019608079,.99413574,577,
1,18,-.013793103,.01386513,.32024947,577,
1,19,-.3308903,.25453123,.19412227,577,
2,0,0,,,577,
2,1,0,,,577,
2,2,0,,,577,
2,3,0,,,577,
2,4,0,,,577,
2,5,0,,,577,
2,6,.013937282,.013864879,.31521279,577,
2,7,0,,,577,
2,8,69.927048,85.694191,.41483414,577,
2,9,-12.427587,12.478577,.31971097,577,
2,10,16.963114,16.984856,.31835046,577,
2,11,.044262886,.31507432,.88832682,577,
2,12,.029172173,.091393098,.74969494,577,
2,13,-1.170972,1.1264333,.29899076,577,
2,14,-11.523933,13.955263,.40927315,577,
2,15,-45.303989,41.847763,.27944401,577,
2,16,-.080307581,.22099334,.71644437,577,
2,17,.028451279,.080771275,.7247836,577,
2,18,.013937282,.013864879,.31521279,577,
2,19,-.027586207,.019574301,.15928489,577,
3,0,0,,,577,
3,1,.013937282,.013864879,.31521279,577,
3,2,0,,,577,
3,3,0,,,577,
3,4,0,,,577,
3,5,0,,,577,
3,6,0,,,577,
3,7,0,,,577,
