x,y,b,se,p,n,p_star
0,0,.75384617,.73699754,.30684012,532,
0,1,-1.1911764,1.2184058,.32869264,532,
0,2,-3.7432127,2.8273578,.18609831,532,
0,3,.69230771,.54776329,.2068283,532,
0,4,1.0769231,.9643659,.26462168,532,
0,5,.23959276,.40474713,.55413204,532,
0,6,57.4776,55.966282,.304887,532,
0,7,-19.599548,14.406429,.17425883,532,
0,8,184.71584,207.44191,.37363043,532,
0,9,163.28032,159.567,.30664647,532,
0,10,2.2314479,2.1659105,.30335853,532,
0,11,-62.5,63.552372,.32583922,532,
0,12,.015384615,.015040766,.30684012,532,
0,13,0,,,532,
0,14,0,,,532,
0,15,0,,,532,
0,16,.015384615,.015040766,.30684012,532,
0,17,0,,,532,
0,18,0,,,532,
0,19,0,,,532,
1,0,34,33.224998,.30662063,532,
1,1,-171.26471,139.31738,.21949987,532,
1,2,276.00226,270.07178,.30726656,532,
1,3,.016063349,.026018562,.53724903,532,
1,4,9.9712667,8.7135096,.25299683,532,
1,5,.034162898,.073394023,.64178437,532,
1,6,.37805429,.40997356,.35687351,532,
1,7,3.7070136,4.4537673,.40559641,532,
1,8,1.2857466,1.2288042,.29588121,532,
1,9,-46.176697,47.178017,.32813737,532,
1,10,.015384615,.015040766,.30684012,532,
1,11,.015384615,.015040766,.30684012,532,
1,12,-.014705882,.015042047,.32869264,532,
1,13,0,,,532,
1,14,0,,,532,
1,15,.04683258,.062014978,.45047539,532,
1,16,-.11696833,.13621138,.39087963,532,
1,17,0,,,532,
1,18,0,,,532,
1,19,0,,,532,
2,0,.20067874,.1493676,.17967777,532,
2,1,.030769231,.021229751,.14783274,532,
2,2,.032126699,.036677971,.38147438,532,
2,3,-33.846378,33.254845,.30924314,532,
2,4,-39.652489,40.857971,.3322421,532,
2,5,93.721039,86.916008,.28139293,532,
2,6,192.04044,129.13652,.13757993,532,
2,7,-194.37239,198.95665,.3290354,532,
2,8,37.028507,107.06023,.72958058,532,
2,9,41.524208,88.021835,.63730013,532,
2,10,-.3045249,.30207041,.31385422,532,
2,11,25.903847,34.165756,.4486793,532,
2,12,-.20316742,.24334176,.404147,532,
2,13,.031447966,.029994939,.29491273,532,
2,14,-58.216743,59.703243,.32995459,532,
2,15,4.432579,3.5308716,.20989469,532,
2,16,0,,,532,
2,17,2.2153847,2.1658702,.30684012,532,
2,18,0,,,532,
2,19,0,,,532,
3,0,-.014027149,.026020784,.5900616,532,
3,1,6.0665159,36.011665,.86628586,532,
3,2,-.68710405,.56235391,.22231291,532,
3,3,.39547512,.31810912,.21434169,532,
3,4,-32.547962,36.144886,.36827067,532,
3,5,-227.83461,184.52644,.21748967,532,
3,6,.66719455,.39296317,.090122096,532,
3,7,-214.93913,174.23601,.21789534,532,
3,8,-3.4631221,6.890892,.61547881,532,
3,9,.289819,.24549943,.23831972,532,
3,10,-.18642534,.24547592,.44792432,532,
3,11,-78.387558,80.15844,.32856613,532,
3,12,-.27873304,.242771,.25143224,532,
3,13,.047511313,.065495707,.46852005,532,
3,14,.61606336,.54491997,.25875273,532,
3,15,.030769231,.021229751,.14783274,532,
3,16,-.028054299,.06380371,.66033584,532,
3,17,.015384615,.015040766,.30684012,532,
3,18,.13846155,.13536689,.30684012,532,
3,19,.12307692,.084919006,.14783274,532,
4,0,-8.8669682,6.3911438,.16590789,532,
4,1,.078280546,.068723515,.25519064,532,
4,2,-28.759275,29.12096,.32380903,532,
4,3,18.854752,18.435251,.30689013,532,
4,4,3.1809955,1.6541266,.055007171,532,
4,5,103.92828,101.13257,.30458608,532,
4,6,1.5812217,2.4295528,.51543939,532,
4,7,-4.227828,4.491497,.34698203,532,
4,8,56.257919,57.852467,.33127645,532,
4,9,16.772171,16.378578,.3062878,532,
4,10,.17330317,.15497422,.26395792,532,
4,11,.41018099,.40791723,.31509113,532,
4,12,.18529412,.13921921,.18377699,532,
4,13,1.2475113,1.2185559,.30641469,532,
4,14,.18800905,.24890074,.45037001,532,
4,15,.58461541,.54176754,.28103888,532,
4,16,0,,,532,
4,17,0,,,532,
4,18,0,,,532,
4,19,0,,,532,
5,0,22.096832,25.575089,.38797969,532,
5,1,.0027149322,.067190982,.96778452,532,
5,2,3.8963802,23.951836,.87083584,532,
5,3,6.2626696,7.3545337,.39485478,532,
5,4,3.8995476,5.0620756,.44143817,532,
5,5,5.0601811,6.1215515,.40882593,532,
5,6,-27.762444,31.97706,.3856785,532,
5,7,1.5124434,4.7666821,.75114489,532,
5,8,175.72421,182.36952,.33570534,532,
5,9,-.54162896,1.0429016,.60373485,532,
5,10,-.0092760185,.10914518,.93230313,532,
5,11,.38348415,.56638902,.49865791,532,
5,12,-.084841631,.15028955,.57263833,532,
5,13,-.014705882,.015042047,.32869264,532,
5,14,-.01199095,.086367756,.88963252,532,
5,15,-.014027149,.026020784,.5900616,532,
5,16,.015384615,.015040766,.30684012,532,
5,17,0,,,532,
5,18,0,,,532,
5,19,.13846155,.13536689,.30684012,532,
6,0,39.41267,37.651108,.29567522,532,
6,1,-80.09864,80.181053,.31826404,532,
6,2,-3.3027148,3.385752,.32976994,532,
6,3,-104.70385,103.79794,.31356558,532,
6,4,7.1828055,16.198067,.6576314,532,
6,5,.5943439,.78491759,.44926327,532,
6,6,.75763577,2.8429799,.78996277,532,
6,7,-14.759502,12.798243,.24932988,532,
6,8,9.159955,11.022742,.40634495,532,
6,9,-.44524887,.89946407,.62079418,532,
6,10,.13981901,.074621879,.061521821,532,
6,11,.16063349,.1414424,.2566033,532,
6,12,.70904976,.55842078,.20473412,532,
6,13,-1.2058823,1.2184432,.32277673,532,
6,14,.015384615,.015040766,.30684012,532,
6,15,-.014705882,.015042047,.32869264,532,
6,16,0,,,532,
6,17,-.014705882,.015042047,.32869264,532,
6,18,0,,,532,
6,19,.015384615,.015040766,.30684012,532,
7,0,30.0375,57.623402,.60239464,532,
7,1,28.438913,31.923891,.373422,532,
7,2,-117.92647,109.2729,.2809929,532,
7,3,41.377544,34.115837,.22572578,532,
