x,y,b,se,p,n,p_star
0,0,0,,,536,
0,1,0,,,536,
0,2,0,,,536,
0,3,0,,,536,
0,4,0,,,536,
0,5,-136.74243,134.71268,.31053346,536,
0,6,16.014706,16.255989,.32499298,536,
0,7,.044117648,.025759514,.087353043,536,
0,8,0,,,536,
0,9,.08645276,.14772275,.55863583,536,
0,10,-34.864975,34.390923,.31114489,536,
0,11,6.012032,5.9714265,.31448689,536,
0,12,5.0543671,35.748322,.88761711,536,
0,13,-.51604277,.53777105,.33769301,536,
0,14,.15953654,.2466273,.51799208,536,
0,15,-.25757575,.23923515,.28211677,536,
0,16,0,,,536,
0,17,0,,,536,
0,18,0,,,536,
0,19,.043672014,.033230279,.18933524,536,
1,0,0,,,536,
1,1,0,,,536,
1,2,0,,,536,
1,3,0,,,536,
1,4,0,,,536,
1,5,-229.22728,225.82472,.31053346,536,
1,6,-1.2424242,1.2090909,.30461791,536,
1,7,-.015151516,.014926612,.31053346,536,
1,8,.014705882,.014927447,.32499298,536,
1,9,-.00089126558,.029798089,.97614986,536,
1,10,-.04768271,.074273132,.52115428,536,
1,11,.028074866,.041964591,.50377613,536,
1,12,.36764705,.37318617,.32499298,536,
1,13,-.13725491,.13749376,.31860405,536,
1,14,-.075757578,.061488915,.21847166,536,
1,15,-.00089126558,.029798089,.97614986,536,
1,16,-.015151516,.014926612,.31053346,536,
1,17,0,,,536,
1,18,0,,,536,
1,19,0,,,536,
2,0,0,,,536,
2,1,0,,,536,
2,2,0,,,536,
2,3,0,,,536,
2,4,.014705882,.014927447,.32499298,536,
2,5,-3.4242425,3.3584642,.30838662,536,
2,6,-.00044563279,.021110008,.9831658,536,
2,7,-.030303031,.021069247,.15094642,536,
2,8,42.997326,43.527805,.32369167,536,
2,9,-9.4585562,9.3290195,.31109664,536,
2,10,-20.450535,20.507189,.31910098,536,
2,11,.44741532,1.6199626,.78250998,536,
2,12,.19919786,.15830788,.20883533,536,
2,13,.36319074,.38539654,.34642327,536,
2,14,.0013368984,.37538382,.99715972,536,
2,15,-35.900623,46.661404,.44200447,536,
2,16,0,,,536,
2,17,0,,,536,
2,18,0,,,536,
2,19,.014705882,.014927447,.32499298,536,
3,0,0,,,536,
3,1,0,,,536,
3,2,0,,,536,
3,3,0,,,536,
3,4,0,,,536,
3,5,0,,,536,
3,6,16.984404,17.256092,.32543567,536,
3,7,.014705882,.014927447,.32499298,536,
3,8,-.17067736,.24988085,.49488097,536,
3,9,.4674688,.28066865,.096388742,536,
