x,y,b,se,p,n,p_star
0,0,0,,,506,
0,1,0,,,506,
0,2,0,,,506,
0,3,0,,,506,
0,4,0,,,506,
0,5,-.0010008601,.022370249,.96433175,506,
0,6,104.03409,168.72675,.53778803,506,
0,7,4.8275862,4.5872531,.29312426,506,
0,8,115.3054,97.905205,.23946211,506,
0,9,-.80100083,.77529889,.30202872,506,
0,10,-.01632653,.015817162,.30247182,506,
0,11,24.582375,25.310474,.33189797,506,
0,12,-.14693877,.14235446,.30247182,506,
0,13,.12260536,.089314364,.1704438,506,
0,14,-28.593885,29.288738,.32939619,506,
0,15,0,,,506,
0,16,0,,,506,
0,17,0,,,506,
0,18,0,,,506,
0,19,.38314176,.39547873,.33310717,506,
1,0,0,,,506,
1,1,0,,,506,
1,2,0,,,506,
1,3,0,,,506,
1,4,0,,,506,
1,5,0,,,506,
1,6,-506.68436,548.85175,.35635948,506,
1,7,1.117085,1.3134185,.3954415,506,
1,8,-.0050043007,.074005939,.94611472,506,
1,9,-.033653922,.031537935,.28644052,506,
1,10,-1.6326531,1.5817162,.30247182,506,
1,11,0,,,506,
1,12,-.0010008601,.022370249,.96433175,506,
1,13,0,,,506,
1,14,.01532567,.015819149,.33310717,506,
1,15,.13793103,.090619542,.12861384,506,
1,16,-.0010008601,.022370249,.96433175,506,
1,17,0,,,506,
1,18,.13793103,.14237234,.33310717,506,
1,19,0,,,506,
2,0,0,,,506,
2,1,-49.552021,47.846294,.30086204,506,
2,2,-.75702554,.77627569,.32992792,506,
2,3,.042974431,.072329037,.55267715,506,
2,4,-.01632653,.015817162,.30247182,506,
2,5,-7.9520211,7.6553278,.2994161,506,
2,6,1257.4485,719.69861,.081213899,506,
2,7,339.30566,351.38452,.33469501,506,
2,8,16.731003,470.96387,.97167516,506,
2,9,-200.56061,119.80702,.094745018,506,
2,10,98.098618,101.24243,.33303607,506,
2,11,-1.1395417,1.2894659,.37726244,506,
2,12,-.03265306,.02232296,.14415723,506,
2,13,-.0020017202,.031573415,.94947398,506,
2,14,43.551178,42.811718,.30951196,506,
2,15,2.9303308,2.6047854,.2611331,506,
2,16,-.018328251,.035255663,.60338461,506,
2,17,.045977011,.027293982,.092702076,506,
2,18,.061302681,.063276596,.33310717,506,
2,19,0,,,506,
3,0,-.06530612,.063268647,.30247182,506,
3,1,-33.055908,32.029747,.30254942,506,
3,2,601.1615,453.30905,.18538652,506,
3,3,.086949721,.11366934,.44466794,506,
3,4,.01532567,.015819149,.33310717,506,
3,5,18.220659,21.820707,.40410385,506,
3,6,515.43475,686.76904,.45329106,506,
3,7,64.325653,95.876076,.50257564,506,
3,8,-37.187145,43.237293,.3901588,506,
3,9,-7.5668778,7.6597033,.32368478,506,
3,10,-.018328251,.035255663,.60338461,506,
3,11,-.034654781,.038561538,.36924815,506,
3,12,-.65306121,.5726642,.25466496,506,
3,13,.59770113,.56996071,.29483226,506,
3,14,.51506764,.57403415,.36999953,506,
3,15,-.019016342,.21213733,.92860758,506,
3,16,.013323951,.035260119,.70568186,506,
3,17,58.911877,60.808807,.33310717,506,
3,18,.03065134,.022328591,.1704438,506,
3,19,0,,,506,
4,0,.01532567,.015819149,.33310717,506,
4,1,.02564704,.094713733,.78666741,506,
4,2,-603.4032,487.65289,.21652889,506,
4,3,2.3911173,2.6779971,.3723501,506,
4,4,.061302681,.063276596,.33310717,506,
4,5,-.0010008601,.022370249,.96433175,506,
4,6,-251.75792,372.50952,.49945039,506,
4,7,-81.034767,209.14844,.69858593,506,
4,8,-82.755928,104.35904,.42815536,506,
4,9,34.005661,34.943905,.33094555,506,
4,10,-3.8407381,3.5610991,.28131497,506,
4,11,-.39809212,4.1156573,.92298222,506,
4,12,-.0020017202,.031573415,.94947398,506,
4,13,.01232309,.041639257,.76739103,506,
4,14,.69497222,.56651336,.22048801,506,
4,15,-1.0649152,1.3063779,.41536221,506,
4,16,0,,,506,
4,17,0,,,506,
4,18,0,,,506,
4,19,0,,,506,
5,0,0,,,506,
5,1,-.052983031,.075578712,.48360708,506,
5,2,-27.735085,39.286797,.48053637,506,
5,3,40.04285,42.793911,.34986871,506,
5,4,-.017327391,.027359825,.52681512,506,
5,5,.38314176,.39547873,.33310717,506,
5,6,-53.284229,370.87012,.88581568,506,
5,7,126.83619,84.83136,.13549936,506,
5,8,-11.859755,21.105051,.57440728,506,
5,9,.028649621,.038571317,.45796695,506,
5,10,-.018328251,.035255663,.60338461,506,
5,11,.045977011,.027293982,.092702076,506,
5,12,63.277691,47.583725,.18417977,506,
5,13,-1.7009617,1.5829903,.28310186,506,
5,14,2.6453359,2.6746817,.3231239,506,
5,15,.06962233,.16026722,.66417372,506,
5,16,.01532567,.015819149,.33310717,506,
5,17,.24521072,.25310639,.33310717,506,
5,18,15.693486,16.198809,.33310717,506,
5,19,.01532567,.015819149,.33310717,506,
6,0,0,,,506,
6,1,126.26182,256.29504,.6224798,506,
6,2,-6.2977247,7.3270688,.39046514,506,
6,3,.22788334,.25452033,.37103045,506,
6,4,0,,,506,
6,5,27.018156,27.904984,.333399,506,
6,6,459.58264,313.97971,.14389016,506,
6,7,136.15639,118.58472,.25143972,506,
6,8,.20855422,.11017483,.058938619,506,
6,9,.02764876,.044456422,.53426945,506,
6,10,-82.925453,79.733719,.29882467,506,
6,11,.0583001,.073960699,.43091649,506,
6,12,.028649621,.067098744,.66957843,506,
6,13,-.018328251,.035255663,.60338461,506,
6,14,.2678552,.23030901,.24536963,506,
6,15,.18290718,.14642473,.21218818,506,
6,16,-.033653922,.031537935,.28644052,506,
6,17,.060301822,.06705711,.36894324,506,
6,18,0,,,506,
6,19,-.40816328,.39542904,.30247182,506,
7,0,0,,,506,
7,1,.072624914,.15579732,.64130956,506,
7,2,.33416218,.26970714,.21592902,506,
7,3,0,,,506,
7,4,0,,,506,
7,5,-.0010008601,.022370249,.96433175,506,
7,6,-212.67496,458.44626,.64291698,506,
7,7,-51.268372,47.893089,.28491777,506,
