x,y,b,se,p,n,p_star
0,0,0,,,562,
0,1,0,,,562,
0,2,0,,,562,
0,3,0,,,562,
0,4,0,,,562,
0,5,0,,,562,
0,6,0,,,562,
0,7,0,,,562,
0,8,-.015147486,.081739508,.85304976,562,
0,9,-1.7491039,1.7224492,.31031799,562,
0,10,-1.4054232,1.4236472,.32397139,562,
0,11,-13.777778,13.679887,.31429487,562,
0,12,-.014336918,.014235054,.31429487,562,
0,13,-.88990211,.73547024,.22679821,562,
0,14,-4.5365958,4.5104351,.31494617,562,
0,15,-3.7768404,6.9056592,.58465183,562,
0,16,.94086653,2.0230219,.64205509,562,
0,17,.1784769,.62441427,.77511334,562,
0,18,1.1367706,1.7979447,.52747428,562,
0,19,224.90373,515.79126,.66297841,562,
1,0,0,,,562,
1,1,0,,,562,
1,2,0,,,562,
1,3,0,,,562,
1,4,0,,,562,
1,5,0,,,562,
1,6,0,,,562,
1,7,0,,,562,
1,8,-116.25087,138.41722,.40134618,562,
1,9,0,,,562,
1,10,0,,,562,
1,11,0,,,562,
1,12,-.014944843,.062014658,.80965191,562,
1,13,-.25806451,.22854359,.25930968,562,
1,14,-.10157427,.078455597,.1959669,562,
1,15,.054713324,.10777162,.61187875,562,
1,16,-.014539559,.024626464,.55515808,562,
1,17,.027863268,.060383514,.64466333,562,
1,18,42.756184,43.062134,.32118985,562,
1,19,-.51612902,.51246196,.31429487,562,
2,0,0,,,562,
2,1,0,,,562,
2,2,0,,,562,
2,3,0,,,562,
2,4,0,,,562,
2,5,0,,,562,
2,6,0,,,562,
2,7,0,,,562,
2,8,-258.23657,237.6158,.27760074,562,
2,9,-27.742138,27.559069,.31454119,562,
2,10,-10.46595,10.377313,.31363019,562,
2,11,.042402826,.024568873,.084921338,562,
2,12,.53588665,.51713824,.30053085,562,
2,13,1.153742,1.4449309,.42493311,562,
2,14,-2.5761871,2.7487464,.34904811,562,
2,15,-67.029297,69.850273,.33766368,562,
2,16,.16920602,.1332382,.20462939,562,
2,17,-1.7357802,1.7241813,.31450066,562,
2,18,-.014539559,.024626464,.55515808,562,
2,19,-1.1612903,1.1530393,.31429487,562,
3,0,0,,,562,
3,1,0,,,562,
3,2,0,,,562,
3,3,0,,,562,
3,4,0,,,562,
3,5,0,,,562,
3,6,0,,,562,
3,7,0,,,562,
3,8,0,,,562,
3,9,.014134276,.014235415,.32118985,562,
3,10,-.014336918,.014235054,.31429487,562,
3,11,.027457984,.066607147,.68032289,562,
3,12,-7.5049458,8.3355713,.36832014,562,
3,13,-.13105868,.14214407,.35691884,562,
3,14,-10.264068,8.2994614,.21671131,562,
3,15,-2.4627583,2.4242759,.31012821,562,
3,16,-1.4062338,1.4240016,.32381299,562,
3,17,-10.437681,10.377333,.31493875,562,
3,18,.014134276,.014235415,.32118985,562,
3,19,2.614841,2.0908279,.21159372,562,
4,0,0,,,562,
4,1,0,,,562,
4,2,0,,,562,
4,3,0,,,562,
4,4,0,,,562,
4,5,0,,,562,
4,6,0,,,562,
4,7,0,,,562,
4,8,.50883394,.51247495,.32118985,562,
4,9,.014134276,.014235415,.32118985,562,
4,10,-.35882822,.35690722,.31514698,562,
4,11,.15486911,.13398558,.24822971,562,
4,12,.59282899,.38436723,.1235533,562,
4,13,-58.473652,58.306347,.31635705,562,
4,14,.69536585,.54172701,.1998096,562,
4,15,-2.549489,4.1372952,.53799897,562,
4,16,4.7418213,5.1643653,.35891944,562,
4,17,.33881733,.35668606,.34257105,562,
4,18,-.52930075,1.6901412,.75426847,562,
4,19,15.910129,10.902219,.14503013,562,
5,0,0,,,562,
5,1,0,,,562,
5,2,0,,,562,
5,3,0,,,562,
5,4,0,,,562,
5,5,0,,,562,
5,6,0,,,562,
5,7,0,,,562,
5,8,-12.415771,11.975689,.30030081,562,
5,9,.014134276,.014235415,.32118985,562,
5,10,-.057550311,.060346007,.34066105,562,
5,11,-.35903087,.35741544,.31556201,562,
5,12,-9.5797462,9.1289063,.29445317,562,
5,13,8.9151306,12.218058,.46589798,562,
5,14,-1.5121142,1.2069175,.21077488,562,
5,15,.46942008,.61851841,.44820613,562,
5,16,-.25223857,.65881813,.70196497,562,
5,17,2.7842495,2.7901492,.31876582,562,
5,18,-242.32259,240.57231,.31423745,562,
5,19,-11.470548,10.403064,.27066913,562,
6,0,0,,,562,
6,1,0,,,562,
6,2,0,,,562,
6,3,0,,,562,
6,4,0,,,562,
6,5,0,,,562,
6,6,0,,,562,
6,7,0,,,562,
6,8,22.360981,81.15567,.78300923,562,
6,9,-84.918777,84.399658,.31477758,562,
6,10,29.907722,30.122051,.32119501,562,
6,11,-.13045076,.23601641,.58067638,562,
6,12,-.49049482,.53102416,.35605231,562,
6,13,-18.651569,18.466194,.312913,562,
6,14,-68.535934,65.83699,.29832736,562,
6,15,-2.4627583,2.8081226,.38085601,562,
6,16,-.80854136,.94249082,.39132729,562,
6,17,.33679092,.52878004,.52443683,562,
6,18,.096913509,.24269083,.689803,562,
6,19,100.52135,110.92216,.36520216,562,
7,0,0,,,562,
7,1,0,,,562,
7,2,0,,,562,
7,3,0,,,562,
7,4,0,,,562,
7,5,0,,,562,
7,6,0,,,562,
7,7,0,,,562,
7,8,-49.850273,49.552254,.31484321,562,
7,9,1.5816203,1.4422138,.27326071,562,
7,10,-.18921691,.38310298,.62156612,562,
7,11,-.11550591,.10226707,.25919011,562,
7,12,1.406943,1.2808208,.27247146,562,
7,13,-17.198071,17.444918,.32463253,562,
7,14,.017933812,5.0730338,.99718064,562,
7,15,-41.065796,37.150303,.26946273,562,
7,16,-15.877199,12.723539,.21260375,562,
7,17,11.165267,11.160951,.31755543,562,
7,18,-4.4018388,4.1196389,.28575489,562,
7,19,-1.1936117,1.4417559,.40808687,562,
8,0,0,,,562,
8,1,0,,,562,
8,2,0,,,562,
8,3,0,,,562,
8,4,0,,,562,
8,5,-8.2580643,8.1993914,.31429487,562,
8,6,0,,,562,
8,7,0,,,562,
8,8,40.62571,68.592628,.55390543,562,
8,9,-.014336918,.014235054,.31429487,562,
8,10,-.043416038,.037449464,.24681853,562,
8,11,1.5969706,1.4264251,.26338065,562,
8,12,-.059982017,.12462112,.63048065,562,
8,13,17.424927,16.477102,.29072857,562,
8,14,32.430412,51.93848,.53261894,562,
8,15,-19.550337,21.952866,.37354785,562,
8,16,7.8138733,11.791342,.50780886,562,
8,17,6.9819269,5.2893047,.18737151,562,
8,18,.056131817,.063549414,.37746492,562,
8,19,-8.6193247,6.6062398,.19252251,562,
9,0,0,,,562,
9,1,0,,,562,
9,2,0,,,562,
9,3,0,,,562,
9,4,0,,,562,
9,5,0,,,562,
9,6,0,,,562,
9,7,0,,,562,
9,8,-28.607216,61.524193,.64213008,562,
9,9,-29.419203,30.135002,.32936364,562,
9,10,69.987411,58.264156,.23017806,562,
9,11,.033435922,1.1620638,.97705597,562,
9,12,110.43044,89.847855,.21955702,562,
9,13,20.115557,21.539549,.35076341,562,
9,14,-5.8413062,7.1434693,.41386902,562,
9,15,2.278506,3.6765423,.53568006,562,
