x,y,b,se,p,n,p_star
0,0,163.41119,128.83731,.20522666,534,
0,1,13.942029,14.406026,.33358827,534,
0,2,.14492753,.13569246,.28597838,534,
0,3,-69.597908,67.284706,.30142882,534,
0,4,-.54364675,.53980529,.31433669,534,
0,5,.013481631,.025932081,.60336185,534,
0,6,-4.8062015,4.3375998,.26834846,534,
0,7,.72059321,.73746699,.32895422,534,
0,8,-80.798111,101.06205,.42436308,534,
0,9,.57566565,.54911548,.29495305,534,
0,10,45.576675,33.335045,.17213058,534,
0,11,.014492754,.014990711,.33409214,534,
0,12,-.015503876,.014988809,.30143625,534,
0,13,-.015503876,.014988809,.30143625,534,
0,14,.057971016,.059962843,.33409214,534,
0,15,-.0010111224,.021198722,.96197534,534,
0,16,0,,,534,
0,17,0,,,534,
0,18,0,,,534,
0,19,0,,,534,
1,0,1.231884,1.2155094,.31129575,534,
1,1,-.0010111224,.021198722,.96197534,534,
1,2,22.593191,22.802298,.32221922,534,
1,3,-1.5358949,1.4989558,.30599728,534,
1,4,-.38860801,.37526113,.30087471,534,
1,5,1.322211,1.5053262,.38014755,534,
1,6,.22885069,.24246286,.34567028,534,
1,7,-3.6262217,5.026329,.47095248,534,
1,8,-1.4587125,1.8530395,.43151543,534,
1,9,75.141891,77.711632,.33401722,534,
1,10,2.5601618,2.5372272,.31341454,534,
1,11,.014492754,.014990711,.33409214,534,
1,12,0,,,534,
1,13,.014492754,.014990711,.33409214,534,
1,14,-12.140546,11.751236,.3020128,534,
1,15,.028985508,.021161485,.17134926,534,
1,16,.014492754,.014990711,.33409214,534,
1,17,0,,,534,
1,18,0,,,534,
1,19,0,,,534,
2,0,657.34784,490.1134,.18042272,534,
2,1,-.04752275,.03335999,.15487556,534,
2,2,-53.340412,36.451931,.14397363,534,
2,3,8.8183346,9.3702927,.3470833,534,
2,4,-3.3120997,3.262301,.31044105,534,
2,5,9.4762383,8.2393465,.25061113,534,
2,6,-7.480957,17.169226,.66321737,534,
2,7,-172.2794,97.446075,.077643037,534,
2,8,20.312099,12.87545,.1152557,534,
2,9,-52.972698,27.355259,.053339131,534,
2,10,-.19143917,.39193743,.62543726,534,
2,11,184.80351,172.53859,.28461686,534,
2,12,.57869905,.54312348,.28713229,534,
2,13,-.093023255,.063468292,.14333032,534,
2,14,-1.0738119,1.6015624,.50284421,534,
2,15,.2099764,1.0441843,.84070402,534,
2,16,.057971016,.059962843,.33409214,534,
2,17,0,,,534,
2,18,0,,,534,
2,19,0,,,534,
3,0,196.5696,216.18575,.36362329,534,
3,1,-3.9265251,3.8372219,.3066439,534,
3,2,34.760029,35.992451,.33460367,534,
3,3,.059319176,.12123772,.62484521,534,
3,4,.95348835,.87167239,.27451101,534,
3,5,5.0515671,4.876842,.30075318,534,
3,6,-.68284464,.56283838,.22558555,534,
3,7,-.49882036,.64565855,.44011638,534,
3,8,4.1681833,2.450526,.089539729,534,
3,9,-.52544659,.36432993,.14982671,534,
3,10,-.79777551,.73814118,.28028026,534,
3,11,.051567238,.46945456,.9125737,534,
3,12,.16986856,.14327025,.23628937,534,
3,13,.085945398,.041992776,.041181259,534,*
3,14,-.18705763,.14816959,.20733774,534,
3,15,.071452647,.065229908,.27383837,534,
3,16,0,,,534,
3,17,-.062015504,.059955236,.30143625,534,
3,18,0,,,534,
3,19,0,,,534,
4,0,-.15503876,.13567145,.25365579,534,
4,1,.12133468,.25553113,.63510066,534,
4,2,-.4091675,.38520378,.28862205,534,
4,3,-12.520054,17.039616,.46280849,534,
4,4,-35.824066,31.904835,.26201141,534,
4,5,107.29356,110.86967,.33361149,534,
4,6,.98618132,1.0079001,.32829583,534,
4,7,2.3788338,1.3267651,.073547602,534,
4,8,-39.156387,291.23923,.89309955,534,
4,9,-28.238962,27.715179,.30871418,534,
4,10,.054937646,.070099495,.43355933,534,
4,11,-2.5817323,3.5449262,.46675685,534,
4,12,.040444896,.068549432,.55543399,534,
4,13,-.28109202,.24235958,.24664482,534,
4,14,-.0010111224,.021198722,.96197534,534,
4,15,-.24806201,.23982094,.30143625,534,
4,16,-.015503876,.014988809,.30143625,534,
4,17,0,,,534,
4,18,0,,,534,
4,19,0,,,534,
5,0,73.100441,75.567978,.33381027,534,
5,1,-4.5156722,4.3322959,.29773313,534,
5,2,-.76474553,.73566568,.29903114,534,
5,3,21.188744,20.54858,.30293733,534,
5,4,23.964949,55.840214,.66797322,534,
5,5,.04246714,.46372092,.92706692,534,
5,6,-52.793056,50.481804,.29613572,534,
5,7,-2.0289855,1.3263899,.1266841,534,
5,8,94.928886,103.32798,.35866141,534,
5,9,-.27334008,.40219495,.49704015,534,
5,10,-.019548366,.044664502,.66180229,534,
5,11,-436.38828,423.04462,.30275548,534,
5,12,-.413212,.40759656,.31115004,534,
5,13,.056959894,.036495589,.11918126,534,
5,14,-.088641725,.27592555,.74814534,534,
5,15,.014492754,.014990711,.33409214,534,
5,16,-.0010111224,.021198722,.96197534,534,
5,17,0,,,534,
5,18,0,,,534,
5,19,0,,,534,
6,0,-50.756321,70.033424,.46892756,534,
6,1,-109.23593,105.76107,.30214071,534,
6,2,-15.581733,15.349552,.31050712,534,
6,3,1.4947759,1.4032891,.28727111,534,
6,4,2.57061,4.1873536,.53954482,534,
6,5,-19.138187,18.423111,.29936314,534,
6,6,165.54668,336.86288,.62332052,534,
6,7,-1.1937984,1.775075,.50153571,534,
6,8,126.47961,150.80034,.40200186,534,
6,9,-7.8361983,8.7253494,.36954081,534,
6,10,-3.6976745,3.8450351,.33664972,534,
6,11,43.433434,41.579479,.29668775,534,
6,12,.098415911,.13813469,.47649023,534,
6,13,-.0010111224,.021198722,.96197534,534,
6,14,.014492754,.014990711,.33409214,534,
6,15,-.031007752,.021156097,.14333032,534,
6,16,-.015503876,.014988809,.30143625,534,
6,17,.014492754,.014990711,.33409214,534,
6,18,7.604651,7.9303126,.33802727,534,
6,19,0,,,534,
7,0,-.015503876,.014988809,.30143625,534,
7,1,-3.4479272,3.3730037,.30714482,534,
7,2,47.531849,48.707127,.32957214,534,
7,3,11.574655,11.83149,.32837448,534,
7,4,21.378834,165.7811,.89743948,534,
7,5,-118.32288,99.031296,.23269641,534,
7,6,-175.25784,181.60101,.33494782,534,
7,7,-1.1803168,2.8591101,.67989999,534,
7,8,-2.6090326,11.796485,.82504463,534,
7,9,10.496799,8.996727,.24384004,534,
7,10,25.60128,27.730001,.35630381,534,
7,11,-29.586788,27.762737,.28704205,534,
7,12,.099427029,.088454299,.26149884,534,
7,13,.014492754,.014990711,.33409214,534,
7,14,1.7381194,1.8139379,.33839604,534,
7,15,0,,,534,
7,16,0,,,534,
7,17,.057971016,.059962843,.33409214,534,
7,18,0,,,534,
7,19,0,,,534,
8,0,-14.930233,14.404144,.30042893,534,
8,1,-113.89181,113.51421,.31615952,534,
8,2,-36.053589,34.533039,.29694486,534,
8,3,.052915402,3.0954614,.98636764,534,
8,4,2.124368,1.8305907,.246373,534,
8,5,48.053589,42.367092,.25721321,534,
8,6,17.718233,10.055564,.078638017,534,
8,7,-67.563866,59.788448,.25896487,534,
8,8,-197.32491,139.38165,.15744369,534,
8,9,-2.2271655,4.9653716,.65394646,534,
8,10,-.72227842,.46627787,.12196916,534,
8,11,.13886081,.11331625,.22095655,534,
8,12,256.12875,333.70126,.44310158,534,
8,13,-.015503876,.014988809,.30143625,534,
8,14,-.062015504,.059955236,.30143625,534,
8,15,-.015503876,.014988809,.30143625,534,
8,16,0,,,534,
8,17,0,,,534,
8,18,-.015503876,.014988809,.30143625,534,
8,19,0,,,534,
9,0,321.01077,239.04144,.17987424,534,
9,1,12.23121,12.606651,.33237833,534,
9,2,-6.5335355,5.4775753,.23348771,534,
9,3,-1.0360633,1.0034678,.30231509,534,
9,4,-7.1472869,36.675072,.84556025,534,
9,5,-39.744862,169.26573,.81444848,534,
9,6,-15.936974,18.43309,.38765627,534,
9,7,-134.19582,98.752892,.17475244,534,
9,8,583.487,317.70441,.066830844,534,
9,9,-44.068756,39.094574,.26015148,534,
9,10,5.7152004,4.2646141,.18077035,534,
9,11,-216.64677,223.42694,.33265972,534,
9,12,.86720592,.9835248,.37831959,534,
